name,logo_url,industry,hq_location,homepage_url,total_funding,round_name,last_funding,top_3_investors,funding_date,cb_link,favorite,description
"Unitary","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vruvffxzfqefj0km4daj","Artificial Intelligence","United Kingdom","https://unitary.ai",24.6,"Series A",15,"Creative Destruction Lab (CDL), Entrepreneur First, Google for Startups",03.10.2023,"https://www.crunchbase.com/organization/unitary","false","Unitary builds context-aware AI and multimodal machine learning approaches to analyze content in context.","Creandum"
"Upciti","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gul2kzfquaipmotddkij","Analytics","France","https://www.upciti.com/",11.9,"Venture Round",6.4,"Innovacom, Demeter Partners, Chalfen Ventures",08.11.2023,"https://www.crunchbase.com/organization/upciti","false","Upciti provider of precise, localized and real-time data for smart cities and smart retailers.","Point Nine"
"Upway","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bkicjosclhqzugu4ulmp","E-commerce","France","https://upway.fr/",60.6,"Series B",30,"Sequoia Capital, Exor Ventures, Korelya Capital",16.11.2023,"https://www.crunchbase.com/organization/upway","false","Upway is building Europe's leading marketplace for reconditioned e-bikes.","Korelya Capital"
"Urban Sports Club","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ogd4zrt9lpvrrwmedxeb","Fitness","Germany","https://urbansportsclub.com/",199.6,"Venture Round",104.4,"Rocket Internet, Verdane, Inkef",14.12.2023,"https://www.crunchbase.com/organization/urban-sports","false","Urban Sports offers a monthly flat rate for all kinds of sports activities in the city.","Verdane"
"VectorY","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/leadjmsyy2hu3mfetmju","Biotechnology","The Netherlands","https://www.vectorytx.com/",175.6,"Series A",138,"Benhamou Global Ventures, MRL Ventures Fund, Forbion Capital Partners",13.11.2023,"https://www.crunchbase.com/organization/vectory","false","VectorY is an integrated gene therapy company focused on development of therapeutics for CNS, somatic disorders and muscle diseases.","EQT Life Sciences"
"Vulcan Cyber","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vhwd11ctrcl6pdkzc6t4","Cybersecurity","Israel","https://vulcan.io",69,"Series B",34,"Dawn Capital, Ten Eleven Ventures, YL Ventures",15.11.2023,"https://www.crunchbase.com/organization/vulcan-cyber","false","Vulcan Cyber is the creator of a vulnerability repair platform aimed at reducing cyber threats.","Maor Investments"
"1X","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v0rfkldevrbcyjkni8vs","AI Robotics","Norway","https://www.1x.tech",135.4,"Series B",99.9,"OpenAI Startup Fund, Type One Ventures, Tiger Global Management",11.01.2024,"https://www.crunchbase.com/organization/halodi-robotics","false","1X is an AI and robotics company that designs and develops humanoid robots to address global labor needs.","EQT Ventures"
"Adaptive","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/fih71x3hcg6ygflikepk","AI Data Annotation","The Netherlands","https://www.adaptive-ml.com/",20,"Series A",20,"Databricks Ventures, Financiere Saint James, Index Ventures",11.03.2024,"https://www.crunchbase.com/organization/adaptive-f6c0","false","Adaptive enables firms to iterate on their AI applications without relying on external data or annotation.","Index Ventures"
"Aegir Insights","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xh2s0r79whgnpxi2d7js","Software","Denmark","https://www.aegirinsights.com",9.1,"Series A",9.1,"Seaya, Climentum Capital, Jon Erik Reinhardsen",13.02.2024,"https://www.crunchbase.com/organization/aegir","false","Aegir Insights helps clients make better decisions about offshore wind investments, faster.","Seaya"
"Airthium","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1503423190/hbk5jk03rluo7u9mwpig.png","Energy Storage","France","https://www.airthium.com",5.3,"Venture Round",3.2,"Y Combinator, EREN Groupe, Polytechnique Ventures",26.03.2024,"https://www.crunchbase.com/organization/airthium","false","Airthium guarantee the availability of solar and wind energy, all year long, making seasonal storage a reality.","Y Combinator"
"AQEMIA","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/qfwiyqyenbzrtitaqqwi","Drug Discovery","France","http://www.aqemia.com/",64.1,"Series A",32.5,"Eurazeo, Bpifrance, Elaia",30.01.2024,"https://www.crunchbase.com/organization/aqemia","false","Drug discovery - Pharma 3.0","Wendel Growth"
"Arga Medtech","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vwy7c7anj0ga7xgki0vx","Cardiac Hardware","Switzerland","https://argamedtech.com",58.5,"Series B",58.5,"Earlybird Venture Capital, Advent Life Sciences, Gilde Healthcare",27.02.2024,"https://www.crunchbase.com/organization/argÃ¡-medtech","false","Arga Medtech is an Innovative Cardiac Ablation System for treating cardiac arrhythmias.","Earlybird Venture Capital"
"Artificial Labs","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1506095594/ej56bcbdcu0buvx05xxw.jpg","Insurtech","United Kingdom","http://artificial.io",25.9,"Series A",10.1,"Augmentum Fintech, Alma Mundi Ventures, MS&AD Ventures",06.02.2024,"https://www.crunchbase.com/organization/artificial-labs","false","Artificial is building the next generation of insurance technology to empower commercial insurers to write better risks, faster.","Augmentum Fintech"
"Baseimmune","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/olnwupikgxc8aekzqlan","Biotech","United Kingdom","https://www.baseimmune.co.uk/",17.1,"Series A",11.4,"IQ Capital, Maki.vc, Creator Fund",26.02.2024,"https://www.crunchbase.com/organization/baseimmune","false","Baseimmune is a biotech startup founded to create the next generation of vaccines.","IQ Capital"
"Bene Bono","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xekfbddrzk8afb3lw9q1","Fresh Food Marketplace","France","https://benebono.fr/",19.2,"Series A",10.9,"AXA Venture Partners, Stride.VC, Tet Ventures",05.03.2024,"https://www.crunchbase.com/organization/hors-normes","false","Bene Bono is an online store that provides seasonal fruit and vegetable products.","AXA Venture Partners"
"bezahl.de","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/b8zbdx6zy8grme1c997x","Fintech","Germany","https://www.bezahl.de",41.4,"Series B",24.1,"Motive Partners, Seaya, PayPal Ventures",20.03.2024,"https://www.crunchbase.com/organization/bezahl","false","NX Technologies provides digital and automated payment management and solutions.","PayPal Ventures"
"Bria","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/qhm9vv1vwoo0ej7wjd1d","Gen AI","Israel","https://bria.ai",26.5,"Series A",24,"Getty Images,Entrée Capital, Publicis Groupe",21.02.2024,"https://www.crunchbase.com/organization/bria-8f2b","false","Addressing the challenges of implementing Visual Generative AI for commercial use across all departments.","Entrée Capital"
"Candela","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/uipus74bpk5yxyxk4n3w","Electric Vehicles","Sweden","http://candela.com",74.1,"Venture Round",26.6,"EQT Ventures, Groupe Beneteau, Ocean Zero",19.03.2024,"https://www.crunchbase.com/organization/candela-a-stantec-company","false","Candela provides sustainable electric hydrofoil vessels that deliver shorter travel times and more comfort than traditional ships.","Groupe Beneteau"
